skuCode,barCode,styleCode,sizeCode
SB-0000010-02-03Y,A100203A,SB-0000010,02-03Y
SB-0000010-03-04Y,A100304A,SB-0000010,03-04Y
SB-0000010-04-05Y,A100405A,SB-0000010,04-05Y
SB-0000010-05-06Y,A100506A,SB-0000010,05-06Y
SB-0000010-06-07Y,A100607A,SB-0000010,06-07Y
SB-0000010-07-08Y,A100708A,SB-0000010,07-08Y
SB-0000010-08-09Y,A100809A,SB-0000010,08-09Y
SB-0000010-09-10Y,A100910A,SB-0000010,09-10Y
SB-0000011-02-03Y,A110203A,SB-0000011,02-03Y
SB-0000011-03-04Y,A110304A,SB-0000011,03-04Y
SB-0000011-04-05Y,A110405A,SB-0000011,04-05Y
SB-0000011-05-06Y,A110506A,SB-0000011,05-06Y
SB-0000011-06-07Y,A110607A,SB-0000011,06-07Y
SB-0000011-07-08Y,A110708A,SB-0000011,07-08Y
SB-0000011-08-09Y,A110809A,SB-0000011,08-09Y
SB-0000011-09-10Y,A110910A,SB-0000011,09-10Y
SB-0000011-11-12Y,A111112A,SB-0000011,11-12Y
SB-0000011-13-14Y,A111314A,SB-0000011,13-14Y
SB-0000012-02-03Y,A120203A,SB-0000012,02-03Y
SB-0000012-03-04Y,A120304A,SB-0000012,03-04Y
SB-0000012-04-05Y,A120405A,SB-0000012,04-05Y
SB-0000012-05-06Y,A120506A,SB-0000012,05-06Y
SB-0000012-06-07Y,A120607A,SB-0000012,06-07Y
SB-0000012-07-08Y,A120708A,SB-0000012,07-08Y
SB-0000012-08-09Y,A120809A,SB-0000012,08-09Y
SB-0000012-09-10Y,A120910A,SB-0000012,09-10Y
SB-0000013-02-03Y,A130203A,SB-0000013,02-03Y
SB-0000013-03-04Y,A130304A,SB-0000013,03-04Y
SB-0000013-04-05Y,A130405A,SB-0000013,04-05Y
SB-0000013-05-06Y,A130506A,SB-0000013,05-06Y
SB-0000013-06-07Y,A130607A,SB-0000013,06-07Y
SB-0000013-07-08Y,A130708A,SB-0000013,07-08Y
SB-0000013-08-09Y,A130809A,SB-0000013,08-09Y
SB-0000013-09-10Y,A130910A,SB-0000013,09-10Y
SB-0000014-02-03Y,A140203A,SB-0000014,02-03Y
SB-0000014-03-04Y,A140304A,SB-0000014,03-04Y
SB-0000014-04-05Y,A140405A,SB-0000014,04-05Y
